
 ⛅️ wrangler 4.71.0 (update available 4.80.0)
─────────────────────────────────────────────
Your Worker has access to the following bindings:
Binding                              Resource         Mode
env.grocery_list (grocery-list)      D1 Database      local

⎔ Starting local server...
[wrangler:info] Ready on http://localhost:3000
[wrangler:info] GET / 200 OK (45ms)
[wrangler:info] GET / 200 OK (42ms)
[wrangler:info] GET /style.css 200 OK (10ms)
[wrangler:info] GET /style.css 200 OK (17ms)
[wrangler:info] GET /app.js 200 OK (17ms)
[wrangler:info] GET /app.js 200 OK (42ms)
[wrangler:info] GET / 200 OK (11ms)
[wrangler:info] GET /app.js 200 OK (14ms)
[wrangler:info] GET /style.css 200 OK (21ms)
[wrangler:info] GET / 200 OK (7ms)
[wrangler:info] GET /style.css 200 OK (7ms)
[wrangler:info] GET /app.js 200 OK (5ms)
[wrangler:info] GET / 200 OK (8ms)
[wrangler:info] GET /style.css 200 OK (10ms)
[wrangler:info] GET /app.js 200 OK (10ms)
[wrangler:info] GET / 200 OK (5ms)
[wrangler:info] GET /style.css 200 OK (14ms)
[wrangler:info] GET /app.js 200 OK (12ms)
[wrangler:info] GET / 200 OK (7ms)
[wrangler:info] GET /style.css 200 OK (7ms)
[wrangler:info] GET /app.js 200 OK (5ms)
[wrangler:info] GET / 200 OK (7ms)
[wrangler:info] GET /style.css 200 OK (5ms)
[wrangler:info] GET /app.js 200 OK (11ms)
[wrangler:info] GET / 200 OK (6ms)
[wrangler:info] GET /app.js 200 OK (12ms)
[wrangler:info] GET /style.css 200 OK (13ms)
[wrangler:info] GET / 200 OK (7ms)
[wrangler:info] GET /style.css 200 OK (5ms)
[wrangler:info] GET /app.js 200 OK (6ms)
[wrangler:info] GET / 200 OK (5ms)
[wrangler:info] GET /style.css 200 OK (9ms)
[wrangler:info] GET /app.js 200 OK (6ms)
[wrangler:info] GET / 200 OK (4ms)
[wrangler:info] GET /style.css 200 OK (4ms)
[wrangler:info] GET /app.js 200 OK (5ms)
[wrangler:info] GET / 200 OK (4ms)
[wrangler:info] GET /style.css 200 OK (4ms)
[wrangler:info] GET /app.js 200 OK (6ms)
[wrangler:info] GET / 200 OK (7ms)
[wrangler:info] GET /style.css 200 OK (7ms)
[wrangler:info] GET /app.js 200 OK (5ms)
[wrangler:info] GET / 200 OK (4ms)
[wrangler:info] GET / 200 OK (4ms)
[wrangler:info] GET /style.css 200 OK (10ms)
[wrangler:info] GET /app.js 200 OK (8ms)
[wrangler:info] GET /style.css 200 OK (11ms)
[wrangler:info] GET /app.js 200 OK (12ms)
[wrangler:info] GET / 200 OK (4ms)
[wrangler:info] GET /style.css 200 OK (8ms)
[wrangler:info] GET /app.js 200 OK (8ms)
[wrangler:info] GET / 200 OK (4ms)
[wrangler:info] GET /style.css 200 OK (6ms)
[wrangler:info] GET /app.js 200 OK (10ms)
[wrangler:info] GET / 200 OK (4ms)
[wrangler:info] GET /style.css 200 OK (5ms)
[wrangler:info] GET /app.js 200 OK (7ms)
[wrangler:info] GET / 200 OK (4ms)
[wrangler:info] GET /style.css 200 OK (6ms)
[wrangler:info] GET /app.js 200 OK (8ms)
[wrangler:info] GET / 200 OK (4ms)
[wrangler:info] GET /style.css 200 OK (6ms)
[wrangler:info] GET /app.js 200 OK (4ms)
[wrangler:info] GET / 200 OK (3ms)
[wrangler:info] GET /style.css 200 OK (9ms)
[wrangler:info] GET /app.js 200 OK (13ms)
[wrangler:info] GET / 200 OK (4ms)
[wrangler:info] GET /app.js 200 OK (5ms)
[wrangler:info] GET /style.css 200 OK (9ms)
[wrangler:info] GET / 200 OK (4ms)
[wrangler:info] GET /style.css 200 OK (4ms)
[wrangler:info] GET /app.js 200 OK (5ms)
[wrangler:info] GET / 200 OK (4ms)
[wrangler:info] GET /style.css 200 OK (5ms)
[wrangler:info] GET /app.js 200 OK (10ms)
[wrangler:info] GET / 200 OK (4ms)
